starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 18:10:48 2022	1656432648	384	123	507	112
Tue Jun 28 18:10:04 2022	1656432604	301	207	508	207
Tue Jun 28 18:09:26 2022	1656432566	211	297	508	294
Tue Jun 28 18:09:22 2022	1656432562	399	110	509	110
Tue Jun 28 18:09:05 2022	1656432545	219	290	509	288
Tue Jun 28 18:10:04 2022	1656432604	302	207	509	206
Tue Jun 28 18:08:42 2022	1656432522	401	108	509	107
Tue Jun 28 18:09:14 2022	1656432554	195	314	509	312
Tue Jun 28 18:10:24 2022	1656432624	219	290	509	290
Tue Jun 28 18:11:02 2022	1656432662	399	110	509	108
Tue Jun 28 18:09:05 2022	1656432545	293	216	509	210
Tue Jun 28 18:11:22 2022	1656432682	489	21	510	21
Tue Jun 28 18:10:49 2022	1656432649	403	107	510	104
Tue Jun 28 18:09:05 2022	1656432545	219	291	510	289
Tue Jun 28 18:10:54 2022	1656432654	305	206	511	198
Tue Jun 28 18:09:51 2022	1656432591	200	311	511	310
Tue Jun 28 18:07:46 2022	1656432466	201	310	511	310
Tue Jun 28 18:08:42 2022	1656432522	310	202	511	201
Tue Jun 28 18:09:51 2022	1656432591	399	113	511	111
Tue Jun 28 18:08:32 2022	1656432512	306	205	512	204
Tue Jun 28 18:11:22 2022	1656432682	488	24	512	23
Tue Jun 28 18:09:14 2022	1656432554	212	300	512	299
Tue Jun 28 18:08:32 2022	1656432512	302	210	512	208
Tue Jun 28 18:11:26 2022	1656432686	399	114	512	113
Tue Jun 28 18:11:26 2022	1656432686	399	114	512	113
Tue Jun 28 18:11:22 2022	1656432682	489	23	513	22
Tue Jun 28 18:11:16 2022	1656432676	405	108	513	107
Tue Jun 28 18:08:32 2022	1656432512	306	207	513	205
Tue Jun 28 18:11:26 2022	1656432686	396	117	513	116
Tue Jun 28 18:11:16 2022	1656432676	405	108	513	106
Tue Jun 28 18:11:22 2022	1656432682	489	24	513	24
Tue Jun 28 18:09:05 2022	1656432545	221	292	513	290
Tue Jun 28 18:09:22 2022	1656432562	410	104	514	104
Tue Jun 28 18:09:05 2022	1656432545	292	222	514	222
Tue Jun 28 18:08:32 2022	1656432512	307	208	514	206
Tue Jun 28 18:09:14 2022	1656432554	212	303	515	302
Tue Jun 28 18:09:05 2022	1656432545	225	292	517	290
Tue Jun 28 18:11:10 2022	1656432670	205	312	517	307
Tue Jun 28 18:09:19 2022	1656432559	495	23	518	23
Tue Jun 28 18:11:10 2022	1656432670	416	103	519	99
Tue Jun 28 18:11:10 2022	1656432670	208	312	520	311
Tue Jun 28 18:09:05 2022	1656432545	297	223	520	222
Tue Jun 28 18:09:05 2022	1656432545	408	115	523	114
Tue Jun 28 18:11:19 2022	1656432679	400	130	530	127
Tue Jun 28 18:10:17 2022	1656432617	175	401	576	399
Tue Jun 28 18:10:52 2022	1656432652	288	293	581	293
Tue Jun 28 18:09:01 2022	1656432541	293	289	582	289
Tue Jun 28 18:09:01 2022	1656432541	292	290	582	289
Tue Jun 28 18:09:33 2022	1656432573	290	294	584	294
Tue Jun 28 18:09:22 2022	1656432562	391	193	584	193
Tue Jun 28 18:11:19 2022	1656432679	297	287	584	286
Tue Jun 28 18:09:22 2022	1656432562	392	193	585	193
Tue Jun 28 18:10:28 2022	1656432628	293	293	586	292
Tue Jun 28 18:09:42 2022	1656432582	390	197	587	196
Tue Jun 28 18:10:29 2022	1656432629	198	390	588	389
Tue Jun 28 18:09:22 2022	1656432562	393	195	588	194
Tue Jun 28 18:11:39 2022	1656432699	197	392	589	391
Tue Jun 28 18:11:16 2022	1656432676	481	108	589	107
